category,title,link,content
"
                    Politics
                ",,https://apnews.com/article/trump-trial-stormy-daniels-michael-cohen-hush-money-f96dd7289cf952145cdd6737b29add3d,"The star prosecution witness in Donald Trump’s New York hush money trial, Michael Cohen, has taken the stand."
"
                    Business
                ",,https://apnews.com/article/china-byd-auto-seagull-auto-ev-cae20c92432b74e95c234d93ec1df400,"A tiny, low-priced electric vehicle called the Seagull has American automakers and politicians trembling."
"
                    Politics
                ",,https://apnews.com/article/trump-criminal-trial-hush-money-stormy-daniels-5fdc819697a76536ed83cbf28d4a523c,
"
                    Politics
                ",,https://apnews.com/article/election-2024-trump-minnesota-a6fafab8ce447feadc43aca01c2c136b,
"
                    Politics
                ",,https://apnews.com/article/democrats-election-ads-millions-rural-trump-voters-8d7188b937a29c8680a96ab56c3b340a,
"
                    Politics
                ",,https://apnews.com/article/trump-china-immigrant-migrants-border-army-05478af9702aa8cc0264bb52c8ba7bd9,
"
                    Politics
                ",,https://apnews.com/video/china-asylum-new-york-china-government-mobile-phones-9017327a70864e558b4664b05df6553f,
"
                    Politics
                ",,https://apnews.com/video/robert-menendez-manhattan-new-jersey-new-york-trials-0cf1b23664ec415481d036f6c57bb3eb,
"
                    Business
                ",,https://apnews.com/article/federal-reserve-interest-rates-inflation-mortgages-52156f98736527a254d5717b83e219f2,
"
                    Business
                ",,https://apnews.com/article/meme-roaring-kitty-gamestop-amc-stocks-401916acd3715d35cc0220143b26b2ac,
"
                    Business
                ",,https://apnews.com/article/apple-store-maryland-union-strike-960295499eb853d96287164349907088,
"
                    Business
                ",,https://apnews.com/article/stock-market-rates-china-tariffs-001d44789933feca44d4e134f55b7d3d,
"
                    Business
                ",,https://apnews.com/article/stock-markets-china-japan-rates-1a3e7073797351d722d4d9f4085504ce,
"
                    Business
                ",,https://apnews.com/article/china-foreign-business-european-chamber-d0f2df56553e4aa41af65171bb84f8b8,
"
                    Business
                ",,https://apnews.com/article/stock-market-today-china-trade-yen-ac3113b9df7265a06901ee8a81dbd443,
"
                    Politics
                ",,,
"
                    Politics
                ",,https://apnews.com/article/barron-trump-convention-delegate-president-republican-cccf0026a78e2d4485fbf6b1581bb545,
"
                    Politics
                ",,https://apnews.com/article/trump-new-jersey-president-trial-gag-order-59a8073e5a22f7a1e13f1461e9998419,
"
                    Politics
                ",,https://apnews.com/article/west-virginia-republican-primary-election-deniers-ad0395542d4d5ef2b8ad5bcdec5d8495,
"
                    Politics
                ",,https://apnews.com/article/republican-governor-phil-scott-vermont-election-f73b13e44d24697ee21419988ed2351a,
"
                    Politics
                ",,https://apnews.com/article/america-first-trump-biden-russia-ukraine-policy-54080728c6e549c8312c4d71150480ba,
"
                    Politics
                ",,https://apnews.com/article/biden-trump-record-agenda-campaign-strategy-presidency-0f48cc2a224fb202fa6bdcfd0422efc5,
"
                    Politics
                ",,https://apnews.com/article/robert-kennedy-jr-trump-independent-third-party-7512ce6c2537453ea400f6dfaae87282,
"
                    Politics
                ",,https://apnews.com/article/child-migration-flores-agreement-unaccompanied-minors-b0a2ba8c0d162c016c6cb9e2a49e0ddd,
"
                    Politics
                ",,https://apnews.com/article/china-electric-vehicles-imports-3d1f4ef984b18bb6e86274e65bcfdf2e,
"
                    Business
                ",,https://apnews.com/article/ftx-crypto-bankman-fried-creditor-6365ceb2565deb891da9b268db94b7a8,
"
                    Business
                ",,https://apnews.com/article/tax-season-refund-debt-credit-personal-finance-39412fe2d14f39fc3237e50789c10dc9,
"
                    Business
                ",,https://apnews.com/article/social-security-medicare-entitlements-treasury-35a2913a3f21a3b0ff40f2c88cbf9cbc,
"
                    Business
                ",,https://apnews.com/article/tax-season-april-income-taxes-direct-file-b1121cd4dac92dd9b33aad0d6757e0d0,
"
                    Business
                ",,https://apnews.com/article/noncompete-agreement-overtime-workers-employers-jobs-career-biden-3d9206f9c6bca78477379d5768d47618,
"
                    Business
                ",,https://apnews.com/article/britain-economy-growth-353975276c628ab8e662361a4eac3fe6,
"
                    Business
                ",,https://apnews.com/article/eurozone-gdp-economy-growth-europe-germany-ecb-55e193b3da704bc34bcf767773e5c8d6,
"
                    Politics
                ",,https://apnews.com/article/federal-debt-bipartisan-commission-taxes-spending-cuts-5075a3c7890d2f3b7f21b4eeda9372eb,
"
                    Politics
                ",,https://apnews.com/article/troy-nehls-texas-republican-campaign-ethics-investigation-147d702a83e3fab96a874cb757bbaa3f,
"
                    Politics
                ",,https://apnews.com/article/airline-safety-flight-refunds-faa-deadline-b67530d5342c8203490e2a22ba7e2243,
"
                    Politics
                ",,https://apnews.com/article/marjorie-taylor-greene-mike-johnson-motion-to-vacate-congress-2e091748562e99373561ed8015cf5e82,
